"ParticipantID","Age","Gender","UKdata_FirstLanguage","Site","EducationScore","HighestBiologyScore","HighestChemistryScore","HighestPhysicsScore","HighestEngineeringScore","HighestMathematicsScore","HighestPsychologyScore","HighestOtherScienceScore1","HighestOtherScienceScore2","STEMscore"
86781,18,"Male","English","UK","16",14,14,10,0,10,14,0,0,24
87342,21,"Male","English","UK","16",10,10,14,14,14,0,0,0,24
87369,25,"Male","English","UK","16",10,10,10,10,10,0,14,0,20
88121,21,"FEMALE","English","UK","16",10,10,10,0,10,14,0,0,20
88343,18,"FEMALE","English","UK","16",14,14,10,0,14,0,10,10,24
88667,22,"Male",NA,"UK","20",10,10,10,0,10,0,0,0,20
88888,NA,NA,NA,"UK","",NA,NA,NA,NA,NA,NA,0,0,NA
89313,19,"Female","English","UK","16",10,10,10,10,10,0,0,0,20
89370,19,"female","English","UK","16",10,10,10,0,10,14,0,0,20
89501,24,"Male","English","UK","20",10,10,10,0,10,0,0,0,20
89738,20,"Male","English","UK","16",10,10,10,0,10,0,0,0,20
90023,24,"female","English","UK","16",14,14,10,0,10,10,16,0,24
90054,20,"Female","English","UK","16",10,10,10,0,10,14,0,0,20
90177,23,"Female","English","UK","20",10,10,10,0,10,14,0,0,20
90724,20,"Male","English","UK","16",8,14,14,14,14,8,0,0,22
90734,18,"Female","English","UK","16",14,14,10,0,14,0,0,0,24
90967,20,"Male","English","UK","16",10,10,10,0,14,0,14,0,20
91007,20,"female","English","UK","16",10,10,10,10,10,10,0,0,20
91291,22,"Male","English","UK","20",10,10,10,0,10,20,0,0,20
91483,22,"Male","English","UK","16",10,10,10,0,10,14,0,0,20
91710,26,"Female",NA,"UK","24",8,8,8,0,22,22,0,0,16
91791,21,"Male",NA,"UK","16",10,14,10,0,10,0,10,0,20
92046,25,"Female","English","UK","16",10,14,10,0,10,0,0,0,20
92505,20,"male","English","UK","14",8,8,8,0,8,8,0,0,16
92892,23,"Male","English","UK","16",0,0,0,0,0,14,14,0,0
93233,25,"Female","English","UK","24",14,14,10,0,10,0,10,0,24
93694,23,"Male","English","UK","20",10,10,10,18,14,0,0,0,20
94127,23,"Male","English","UK","16",0,0,0,0,14,0,0,0,0
94468,21,"Male","English","UK","16",10,10,14,14,14,0,14,0,24
94510,21,"non-binary","English","UK","20",10,10,10,10,10,0,0,0,20
95432,20,"Male","Other","UK","18",8,8,8,8,14,8,14,14,16
95595,20,"male","English","UK","16",10,10,10,0,10,0,0,0,20
95789,21,"Male","English","UK","16",10,10,10,14,14,0,0,0,20
97427,25,"male","English","UK","16",10,10,10,10,10,10,0,0,20
97428,19,"female","English","UK","16",10,10,10,0,10,0,0,0,20
97438,20,"Female","English","UK","16",14,14,10,0,10,0,0,0,24
97812,29,"Male","English","UK","10",10,10,10,0,10,0,0,0,20
98094,19,"non binary","English","UK","16",10,10,10,0,10,0,0,0,20
98530,18,"female","English","UK","16",14,10,10,0,10,14,14,0,24
99014,19,"female","English","UK","16",10,10,10,0,14,14,0,0,20
99118,18,"Female","English","UK","16",10,10,10,0,10,0,14,0,20
99679,20,"Male","English","UK","16",10,10,10,10,10,0,0,0,20
99765,77,"male","English","UK","14",0,10,14,0,14,0,0,0,14
99999,NA,NA,NA,"UK","",NA,NA,NA,NA,NA,NA,0,0,NA
168801,22,"Female","English","UK","10",10,10,10,0,10,10,0,0,20
236321,23,"Female","English","UK","16",14,14,10,0,14,0,10,0,24
