"ParticipantID","CB_ACC","CB_RTc","CB_LogRTc","CB_LogRTperC","CB_RTperCcorrect","CB_ACC_forward","CB_RTc_forward","CB_LogRTc_1","CB_LogRTperC_forward","CB_LogRTc_1_forward","CB_RTperCcorrect_forward","CB_ACC_backward","CB_RTc_backward","CB_LogRTc_backward","CB_LogRTc_1_backward","CB_RTperCcorrect_back","CB_Totalclick","CB_Correctclick","CB_Totalclick_forward","CB_Correctclick_forward","CB_Totalclick_backward","CB_Correctclick_backward","CB_EFF","CB_EFF_forward","CB_EFF_backward"
12319,0.5,4.1737125,0.551312878648491,-0.0335358651032799,1.07700366071429,0.4375,5.2655,0.667139064951125,0.0121610582710989,0.720004220319936,1.17377074829932,0.5625,3.32454444444444,0.504947538526877,0.626021721886495,1.00174037037037,4.75,3.625,4.8125,3.8125,4.6875,3.4375,0.119797422558454,0.0830880258285063,0.169196113753263
12604,0.633333333333333,4.23482105263158,0.564692612806494,-0.0105855972851977,0.949073421052631,0.733333333333333,4.70705454545454,0.677759070937063,0.0223285171570045,0.704115937687341,1.02600666666667,0.533333333333333,3.5855,0.522605630418616,0.641518379155431,0.843290208333333,5,4,5,4.13333333333333,5,3.86666666666667,0.149553741577763,0.155794526333138,0.148747269093106
12776,0.625,2.30248,0.342128399292037,-0.258035550670468,0.60324580952381,0.6875,2.444,0.509172190696828,-0.255508981383387,0.523289598586168,0.592161168831169,0.5625,2.12951111111111,0.320533824611694,0.491917581054302,0.616793703703704,5.15625,3.75,5.125,3.9375,5.1875,3.5625,0.27144644035996,0.281301145662848,0.264145135033602
13095,0.6875,1.54337272727273,0.159023871946929,-0.379869042988134,0.385124329004329,0.75,1.42731666666667,0.395368787737607,-0.443999087734164,0.372933644494805,0.330584880952381,0.625,1.68264,0.210170831280831,0.422290959628969,0.450571666666667,5.4375,4.5625,5.5,4.875,5.375,4.25,0.445452992560567,0.525461530377515,0.371440117909951
13365,0.5625,1.83341666666667,0.21841476226037,-0.321559533591583,0.466519312169312,0.5,1.7533375,0.433781665821879,-0.300378352921607,0.423264368600658,0.489010416666667,0.625,1.89748,0.231232793102875,0.442195503598855,0.448526428571429,5.21875,3.71875,5.375,3.5625,5.0625,3.875,0.306804236171083,0.285170424975226,0.329384235933976
13584,0.5625,2.92738888888889,0.442780329162502,-0.114044353497978,0.803722222222222,0.5625,3.10488888888889,0.582153159039708,-0.109273746269689,0.609652404772362,0.887735185185185,0.5625,2.74988888888889,0.399905313241852,0.554653913307053,0.719709259259259,5.03125,3.25,5.5,3.8125,4.5625,2.6875,0.192150760063006,0.181165903235042,0.204553719342196
13600,0.59375,3.82963684210526,0.554419474211465,-0.0179528344098315,1.0103077443609,0.6875,4.25370909090909,0.665899830772405,-0.0267384117152452,0.701612344097771,1.06564186147186,0.5,3.2465375,0.492335717497459,0.616795124950027,0.934223333333333,5.375,3.84375,5.5,4.1875,5.25,3.5,0.155040810520717,0.161623652512887,0.154010233980048
13647,0.612903225806452,1.81984736842105,0.230549251389664,-0.318252577129389,0.480781954887218,0.6875,1.88682727272727,0.4386025517075,-0.370054942484605,0.443340638906455,0.465174307359307,0.533333333333333,1.72775,0.228251085021338,0.432087681808936,0.502242470238095,5.06451612903226,3.74193548387097,5.25,4.125,4.86666666666667,3.33333333333333,0.336788258423135,0.364368275749093,0.308686634833357
14464,0.59375,2.55422105263158,0.358583317765903,-0.179204271711453,0.65304984962406,0.625,2.58325,0.526036577565823,-0.189160048886342,0.520233335446949,0.618211047619048,0.5625,2.52196666666667,0.372993481499313,0.532484624364572,0.69175962962963,5.28125,3.5625,5.4375,3.75,5.125,3.375,0.232458345525054,0.241943288493177,0.223040219934178
15060,0.59375,1.60844736842105,0.178269953304434,-0.383167984506574,0.42303664160401,0.625,1.72658,0.405342637423989,-0.370669714559471,0.42457782184235,0.434124619047619,0.5625,1.47718888888889,0.143947207798221,0.383970210292476,0.410716666666667,5.1875,3.875,5.125,4.0625,5.25,3.6875,0.369144811112384,0.361987281214887,0.380790841463139
